Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
3;1059843;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.59;женский;0;0;высшее;специалист;>250;0;79;49;Торговля;ООО;женат / замужем;1;1;0;0;0;0.2857142857;0;0;0;0;1;1;0;10;1;0;0;13;13;1;0;0;0;0;0;0
3;1059863;2НДФЛ;Покупка недвижимости/ строительство;0;0.48;мужской;0;0;второе высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059883;Поступление зарплаты на счет;Ремонт;0;0.07;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059903;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059923;;Ремонт;0;;женский;0;0;высшее;другое;;1;82;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059943;2НДФЛ;Ремонт;0;0.24;мужской;2;0;высшее;менеджер по продажам;< 50;0;13;37;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059963;Поступление зарплаты на счет;Ремонт;0;0.26;мужской;0;0;высшее;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1059983;Форма банка (без печати работодателя);Покупка автомобиля;1;0.45;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;7;34;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.3333333333;1;2;77;3;0;1;38;38;0;0;0;0;0;0;0
3;1060003;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.15;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060023;Форма банка (без печати работодателя);Покупка автомобиля;0;0.27;мужской;2;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060043;2НДФЛ;Ремонт;0;0.23;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060063;2НДФЛ;Покупка недвижимости/ строительство;1;0.57;мужской;1;0;высшее;специалист;>250;0;23;39;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060083;Поступление зарплаты на счет;Ремонт;0;0.27;женский;3;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060103;2НДФЛ;Покупка недвижимости/ строительство;0;0.48;женский;2;0;высшее;вспомогательный персонал;>250;0;10;38;Торговля;ООО;женат / замужем;2;0;0;0;0;0.2448979592;0;1;1;0;0.6;3;2;37;5;2;0;2;93;1;0;0;0;0;0;0
3;1060123;Поступление зарплаты на счет;Ремонт;1;0.3;мужской;0;0;среднее;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060143;Поступление зарплаты на счет;Ремонт;0;0.27;мужской;1;0;среднее-специальное;рабочий;>250;0;111;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060163;2НДФЛ;Ремонт;1;0.53;мужской;0;0;второе высшее;менеджер среднего звена;>250;0;11;42;Торговля;ООО;женат / замужем;1;1;1;0;0;0.1245283019;1;1;0;0;0.2380952381;5;16;232;21;3;0;3;111;1;1;1;1;0;0;0
3;1060183;2НДФЛ;Ремонт;1;0.47;женский;1;0;высшее;специалист;< 50;0;13;47;Торговля;ООО;женат / замужем;2;2;2;0;0;0;0;1;1;1;1;2;0;11;2;2;0;-1;8;0;0;0;0;0;0;0
3;1060203;Форма банка (без печати работодателя);Отпуск;0;0.16;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060223;Свободная форма с печатью работодателя;Ремонт;1;0.42;мужской;0;0;среднее-специальное;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060243;2НДФЛ;Покупка недвижимости/ строительство;1;0.47;женский;1;0;среднее-специальное;рабочий;>250;3;74;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060263;Форма банка (без печати работодателя);Ремонт;1;0.39;женский;2;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
